Sample ID	Gene Name	Entrez ID	Start Position	End Position
P01309815A0972	AEP	5641	150	153
P01309910A0428	CREB2	1386	85	90
P01309910A0428	TAR	9939	42	45
P01310935T0000	UbcD1	41785	10	15
P01314953A1266	hap3	4801	109	113
P01314953A1266	HAP3	4801	78	82
P01314953A1266	HAP2	9001	70	74
P01316476A1428	ORF 4	83992	3	8
P01320640A0336	neuron-specific enolase	2026	43	66
P01320640A0336	insulin	3630	68	75
P01320640A0336	VIP	7432	90	93
P01320640A0336	glucagon	2641	77	85
P01321277A0342	src	396442	32	35
P01321277A0342	SRC	396442	66	69
P01321277A0664	SRC	6714	5	8
P01321332A0970	ARP-1	10121	282	287
P01321332A0970	apoAI	335	122	127
P01321332A0970	RXR alpha	6256	80	89
P01321337A1161	cna1	1255	35	39
P01321337A1161	cnb1	5534	66	70
P01321337A1161	cna2	5532	40	44
P01324172A0880	RIM1	22999	49	53
P01324404A0813	HNF-3 beta	3170	132	142
P01324404A1208	HNF-3 beta	3170	-1	9
P01325221A0870	MBP	4155	88	91
P01326329A0703	activator protein 2	7020	190	209
P01326329A0703	Ap-2	7020	211	215
P01328219A1397	NSCL-1	4807	-1	5
P01328681A0149	c-myc	4609	54	59
P01328854T0000	MEF-2	4205	8	13
P01330077A0000	TCR beta	6957	21	29
P01330309A1134	MyoD	4654	36	40
P01330309A1134	myogenin	4656	45	53
P01331057A0000	COX12	850727	28	33
P01331501A0397	p107	5933	122	126
P01331501A0397	p130	9221	142	146
P01331501A0397	cyclin A	890	128	136
P01332964A0247	RII beta	5577	27	35
P01333047A0404	Nck	17973	147	150
P01333053A0110	ACTH	5443	139	143
P01333317A1008	Sp1	6667	43	46
P01334428A1102	min-1 mg-1	966	140	150
P01334428A1102	min-1 mg-1	966	103	113
P01334428A1102	src	6714	31	34
P01334493A0289	HGF	3082	43	46
P01334493A0289	HGFr	4233	24	28
P01339391A0000	HRAS1	8045	66	71
P01339468A0272	ORF1	55354	3	7
P01339468A0272	ORF2, -3, -5 and -6	136991;51503	93	112
P01339773A0778	CO2	717	57	60
P01340470A0000	rbp1	41294	28	32
P01347664A1026	CAD	730249	58	61
P01348504A0757	pol alpha	5422	9	18
P01348508A0313	TGM1	7051	177	181
P01348590A0000	CD4	920	148	151
P01353478T0000	H-2Eb	14969	14	19
P01353478T0000	IAP	15601	28	31
P01357190A0726	CD4	920	141	144
P01360180A1568	P68	57459	31	34
P01360294A0000	AT III	462	141	147
P01360294A0000	antithrombin III	462	123	139
P01371413A0742	hGCSFR	1441	16	22
P01372802A1481	C3(D)	100861467	123	128
P01372802A1481	C3(D)	100861467	313	318
P01372900A1017	alpha s1	5729	68	76
P01373374A0735	GBF1	8729	77	81
P01374392A0341	NHE-2	6549	69	74
P01374392A0341	NHE-1	6548	59	64
P01374392A0341	NHE-3	6550	26	31
P01376319T0000	cation-dependent mannose 6-phosphate receptor	17113	32	77
P01377696A0000	neurofascin	419824	46	57
P01377818A0468	C/EBP beta	1051	12	22
P01377818A0468	C/EBP gamma	1054	27	38
P01377818A0468	C/EBP alpha	1050	94	105
P01378052A0594	N10	3164	119	122
P01378052A0594	TGT	81890	114	117
P01378052A0594	N14	8636	126	129
P01380454A0451	Myb	4602	247	250
P01380454A0451	ref-1	328	51	56
P01380454A0451	Fos	2353	101	104
P01380454A0451	ATF	2668	270	273
P01380454A0451	Jun	3725	105	108
P01380454A0451	CREB	1385	274	278
P01380454A0451	Jun	3725	123	126
P01380454A0451	Jun	3725	127	130
P01380454A0451	AP-1	2353	156	160
P01380454A0451	NF-kappa B	4790	235	245
P01386897A0000	CDC28	852457	79	84
P01386897A0000	CLN2	855819	153	157
P01386897A0000	CLN1	855239	144	148
P01387105A0933	Cycb1	268697	216	221
P01387105A0933	Cycb1-rs1	268697;20147	203	212
P01387105A0933	cyclin B1	268697	158	167
P01394200A0592	CD45RO	5788	194	200
P01394200A0592	CD25	3559	160	164
P01396583A0204	interleukin 2	3558	51	64
P01396592A1113	GATA-1	2623	96	102
P01396601A0986	Stl2p	1301	53	58
P01396601A0986	Sec12p	10113	35	41
P01396601A0986	Stl1p	1280	43	48
P01398068A0948	p53	7157	65	68
P01398071A0526	BRF1	2972	88	92
P01398104A0834	CBF-A	4904	19	24
P01400217T0000	traG	23335	75	79
P01400396A1265	protein kinase C beta	5579	124	145
P01400401A0854	AMPD3	272	144	149
P01402647A0114	DR1	1810	-1	2
P01406630A0965	p65	5970	22	25
P01406677A0000	myoglobin	4151	98	107
P01406688A0898	rap1	5906	39	43
P01407286A0427	tyrosine hydroxylase	7054	169	189
P01409581A0206	PU.1	6688	85	89
P01410071T0000	prolactin	5617	51	60
P01413984A0737	antithrombin III	462	167	183
P01413984A0737	Lp(a)	4018	119	124
P01413984A0737	apo A1	335	111	117
P01420363A0818	AP1	2353	150	153
P01420363A0818	c-Fos	2353	60	65
P01420363A0818	TIMP	7076	3	7
P01420363A0818	AP1	2353	17	20
P01420363T0000	tissue inhibitor of metalloproteinases-1	21857	69	109
P01420363T0000	AP1	16476	14	17
P01420363T0000	TIMP-1	21857	111	117
P01420363T0000	PEA3	18612	22	26
P01421145A1190	PCAT-1	100750225	88	94
P01421390T0000	granulocyte-macrophage colony-stimulating factor	1437	39	87
P01422265A0263	IgG3	3502	128	132
P01426635A0496	DDC	1644	76	79
P01426635A0496	ZFH-2	85446	22	27
P01427034A0440	S13	6207	104	107
P01429724A0664	Nmt1p	4836	54	59
P01446828A1088	NF-1	4763	116	120
P01446828A1088	LF-A1	3689	109	114
P01446828A1088	AP2	7020	104	107
P01446828A1088	NF-E1	2623	133	138
P01446828A1088	ADH5	128	16	20
P01446828A1088	Sp1	6667	99	102
P01447189T0000	RNK-Met-1	29252	52	61
P01448107A0361	GCN2	440275	28	32
P01448806A0135	growth hormone	2688	17	31
P01452037A0000	GAPDH	9117235	71	76
P01452037A0000	triosephosphate isomerase	9120427	138	163
P01452037A0000	TIM	9120427	165	168
P01452037A0000	3-phosphoglycerate kinase	9120428	79	104
P01452037A0000	glyceraldehyde-3-phosphate dehydrogenase	9117235	29	69
P01452037A0000	PGK	9120428	106	109
P01454518A0336	ERCC3	2071	223	228
P01457380A0000	ttk	48317	14	17
P01457380A0000	ttk	48317	117	120
P01457380A0000	tramtrack	48317	3	12
P01457695T0000a	beta 2-microglobulin	3135	10	30
P01457695T0000b	beta 2-microglobulin	3135	10	30
P01458170A0155	beta 2	28907	216	222
P01459885A0705	alpha 1	597	109	116
P01459921A0000	C18	27241	236	239
P01459921A0000	C18	27241	224	227
P01460054A0478	ICSBP	3394	9	14
P01460054A0968	ICSBP	3394	10	15
P01464606A0344	fibronectin	2335	121	132
P01468625A0282	LEU2	925	18	22
P01468625A1080	ACT1	10758	12	16
P01468625A1080	NSR1	91179	46	50
P01469042A0355	CENP-B	1059	5	11
P01469042A0355	CENP-B	1059	55	61
P01470243A0871	albumin	213	301	308
P01471602A0362	HMG-CoA) reductase	3156	128	146
P01477021A0394	prolactin	5617	56	65
P01480183A1689	lactoferrin	17002	74	85
P01504853A0299	LHRH	2796	9	13
P01505488A0231	EVL	51466	47	50
P01512259A0867	furin	5045	167	172
P01516829A0113	SNF5	6598	32	36
P01516829A0113	SNF2	6597	26	30
P01516829A0460	GAL4	3960	17	21
P01516829A0460	SNF5	6598	82	86
P01516829A0460	SNF2	6597	76	80
P01518849A0165	PR3	5657	6	9
P01518849A0165	elastin	2006	214	221
P01518849A0165	elastin	2006	115	122
P01524549A0241	GH	8836	4	6
P01524549A0241	GH	8836	179	181
P01524549A0241	GH	8836	134	136
P01525153A0359	Sen	10934	143	146
P01526658A0454	IFI 16	3428	-1	5
P01527020A0511	AdoMet	25331	42	48
P01529530T0000	ISGF3	10379	105	110
P01531632A0000	NSR1	91179	128	132
P01531632A0000	nucleolin	4691	95	104
P01531632A0000	SSB1	80176	119	123
P01531632A0000	fibrillarin	2091	106	117
P01532229A1264	HF-1b	6671	95	100
P01532229A1264	MEF-2	4205	101	106
P01535242A0557	GM-CSF	12981	50	56
P01535242A0557	M-CSF	12977	41	46
P01535242A0557	c-fms	12978	93	98
P01536575A1213	CYPIA1	1543	206	212
P01537334A0507	TRP-2	104042	17	22
P01537845A0571	c-myb	17863	23	28
P01537845A0571	c-myb	17863	62	67
P01538401A1244	A 13	28888	-1	3
P01542667A0125	IFN-gamma	3458	182	191
P01542667A0125	IFN-gamma	3458	17	26
P01542686A0000	Rel	5966	53	56
P01542686A0000	65-kDa (p65) subunit of NF-kappa B	5970	132	166
P01544918A1240	RII beta	5577	260	268
P01545523A0000	C reactive protein	1401	76	94
P01545787A0345	NFAT-1	4773	104	110
P01545792A0000	MLC-2	4633	33	38
P01545792A0000	cardiac myosin light chain-2	4633	3	31
P01545792A0492	MLC-2	4633	100	105
P01545806T0000	MER2	853478	95	99
P01545818A0696	src	83805	115	118
P01545818A0696	p62	117268	12	15
P01545818A0696	p130	81758	3	7
P01545818A0696	Src	83805	188	191
P01547942A0120	CHOP-10	1649	141	148
P01547957A1083	CYP1	1543	166	170
P01547957A1083	CYP3	10105	219	223
P01549125A0140	IAPP	3375	50	54
P01549125A0140	insulin	3630	41	48
P01549129A0356	Src	6714	139	142
P01549346A0000	c-Ets-1	2113	3	10
P01554334A0000	IFN-gamma	281237	40	49
P01560021A0379	AE3	24781	80	83
P01563343A0548	CAB	56654	63	66
P01569102A0708	LDL receptor	3949	37	49
P01569945A0529	SEN1	10934	3	7
P01573270A0000	IA4	14969	3	6
P01577819A0709	PRP	5621	11	14
P01581965A0388	rho	6010	159	162
P01581965A0388	n-chimerin	1123	143	153
P01582413A0759	Myf-5	4617	15	20
P01582413A0759	E12	64100	66	69
P01584812T0000	NGFI-C	1961	133	139
P01585014A0000	GnRH	2796	100	104
P01588270A1029	DBP	1628	155	158
P01588961A0000	STP1	852074	-1	3
P01588963A1153	Cdc25	995	90	95
P01588965A0000	GCR1	856030	-1	3
P01594554A0845	CCK	885	48	51
P01597462A0457	CDC14	8556	28	33
P01603088A1121	TR	2149	49	51
P01612085A0624	EPO	2056	25	28
P01612085A0624	erythropoietin	2056	9	23
P01615493A0408	HC II	3053	3	8
P01615493A0975	HC II	3053	42	47
P01615493A0975	thrombin	2147	95	103
P01617801A0088	renin	5972	36	41
P01620129A0417	FO108	8370	108	113
P01626430A1112	SNF2	854465	39	43
P01626430A1112	RAD16	852411	22	27
P01626430A1112	RAD54	852713	29	34
P01627828A0475	SmN	20595	182	185
P01627828A0475	SmN	20595	58	61
P01627830A0000	CKI1	850824	90	94
P01627830A0000	CKI2	856537	99	103
P01630454A0635	Act1	10758	66	70
P01630455A0448	IL-1 beta	16176	191	200
P01633435A0743	DRF-2	1730	3	8
P01633435A0743	MEF-2	4205	104	109
P01633816A0667	opn	6696	117	120
P01634464A0163	factor VII	2155	30	40
P01636714A0845	CLP	810	168	171
P01643943A0300	TFR	7037	65	68
P01644796A0374	furin	5045	60	65
P01644821A1259	CAT	847	67	70
P01644831A0824	NGFI-B	3164	65	71
P01645902A1462	gH	8836	90	92
P01645902A1462	syn	23336	168	171
P01645902A1462	Syn 5	54221	42	47
P01646157A0414	alpha-Gal A	2717	215	226
P01646157A0414	alpha-galactosidase A	2717	192	213
P01646487A0874	IgA	973	86	89
P01648142A1170	CAV	858	119	122
P01649318A0734	CD23	2208	25	29
P01649539T0000	myeloperoxidase	4353	34	49
P01649835A0822	PBR	281033	30	33
P01649835A0822	IBP	281033	34	37
P01651918A0000	fructose-6-phosphate,2-kinase:fructose-2,6-bisphosphatase	24640	127	184
P01652372A0153	SWI5	375757	18	22
P01652755A1492	IL-6	3569	284	288
P01652755A1492	MHC	3107	324	327
P01652755A1492	c-fos	2353	198	203
P01652755A1492	IL-6	3569	178	182
P01653173A0619	P105	4790	176	180
P01653173A0619	P105	4790	99	103
P01653236A0895	glucocorticoid receptor	100763961	48	71
P01653236A0895	glucocorticoid receptor	100763961	109	132
P01653238A1062	AP-1	3726	138	142
P01653238A1062	TGF-beta 1	7040	208	218
P01653238A1062	transforming growth factor beta 1	7040	173	206
P01653238A1715	TPA	5327	-1	2
P01653238A1715	TGF-beta 1	7040	7	17
P01656220T0000	axl	558	-1	2
P01657969A1420	calmodulin	801	180	190
P01658375A0854	LAT	27040	202	205
P01658741A1047	ADE 1	851272	108	113
P01662807A1182	TR	2149	29	31
P01671675A0483	CAD	730249	235	238
P01671675A0905	CAD	730249	88	91
P01674817T0000	RNA14	855083	22	27
P01674817T0000	RNA15	852838	32	37
P01674817T0000	RNA15	852838	138	143
P01675763A1389	CD4	920	44	47
P01679124A1368	ChAT	1103	49	53
P01679749A1171	HSPG2	3339	162	167
P01684791A0000	glutamine synthetase	396489	75	95
P01691184A0995	Gap b3	3675	-1	5
P01694014A0716	LD78	6349	159	163
P01695116A0078	CR1	1378	50	53
P01695905A0480	GLUT5	6518	-1	4
P01697683T0000	cytotactin	3371	59	69
P01697928A1214	alpha/beta	351	226	236
P01697928A1214	Ly-6E	4061	66	71
P01699944A1538	c-fos	2353	190	195
P01699944A1538	VLC1	4634	159	163
P01701088A1335	AP-2	7020	74	78
P01702426A0196	fatty acid synthase	2194	156	175
P01702972A0613	G0S30	1958	153	158
P01703632T0000	suppressor of	34793	14	27
P01708774A0203	AP-1	3726	27	31
P01709486A0000	c-kit	16590	73	78
P01709933T0000	pS1	29192	77	80
P01710979T0000	p110	9733	107	111
P01710979T0000	p130	9221	98	102
P01711041A0348	C5 alpha	728	79	87
P01711041A0962	C5 alpha	728	3	11
P01711048T0000	COL1A2	1278	82	88
P01713213A0000	Pim-1	5292	160	165
P01713213A0000	pim-1	5292	50	55
P01713213A0488	glutathione S-transferase	373156	145	170
P01713213A0488	pim-1	5292	19	24
P01713213A0488	Pim-1	5292	86	91
P01713213A0488	GST	373156	172	175
P01714902A0221	CD3 zeta	919	117	125
P01714902A0221	interleukin-2	3558	154	167
P01715975A0885	CYP1	1543	19	23
P01716292A0000	DR alpha	1811	219	227
P01717833A1223	CREB	1385	122	126
P01717994T0000	CDC2-related kinase	8999	34	53
P01717994T0000	cdc28	852457	92	97
P01718043A0384	PMN elastase	1991	57	69
P01720843A1506	angiotensin converting enzyme	1636	59	88
P01720843A1506	EDRF	51327	163	167
P01722319A0849	CHIP28	358	57	63
P01725622A0292	Gpt	2875	60	63
P01727488A1146	PRDII-BF1	3096	-1	8
P01730412T0000	c-Myc	4609	44	49
P01733358A0240	mucin	100508689	122	127
P01734020A1318	PKC alpha	5578	167	176
P01734283A0817	RAP74	2962	31	36
P01734283A0817	RAP30	2963	157	162
P01735447A0271	PrB	5925	99	102
P01735447A0271	sec61	29927	120	125
P01735447A0833	PrB	5925	130	133
P01735447A0833	PrB	5925	106	109
P01736093A0731	HSE	8630	135	138
P01736093A0731	CAT	847	14	17
P01736844T0000	sex hormone-binding globulin	6462	36	64
P01738936A0292	C-peptide	3630	23	32
P01740437A0851	HSPG	6383	42	46
P01740437A0851	fibroglycan	6383	154	165
P01748292A0000	G protein alpha subunit	543985	46	69
P01748630A0125	c-Myc	4609	68	73
P01748630A0125	Myc	4609	192	195
P01759052A0786	Appl	26060	-1	3
P01762914A1218	uPA	118471	10	13
P01762917A0615	TFIIIA	2971	99	105
P01765095A0680	myogenin	4656	146	154
P01765095A0680	CMD1	6662	137	141
P01765266A0000	elongation factor 1-alpha	386604	40	65
P01765266A0000	EF-1 alpha O	397890	74	86
P01766666A0788	rNFIL-6	24253	31	38
P01767592A0682	HAP2	9001	101	105
P01767592A0682	HAP3	4801	106	110
P01767899A0136	prothrombin	2147	68	79
P01767899A0136	fibrinogen	2244	43	53
P01768648A0853	cRel	5966	105	109
P01774062A0257	Ring 4	6890	68	74
P01774062A0257	HLA-DQA1	3117;3105	38	46
P01774063A0161	B2M	12010	200	203
P01774063A0161	Ltk	17005	191	194
P01774063A0161	Fshb	14308	178	182
P01776715A0489	CO2	717	93	96
P01780235A0094	EPO	2056	3	6
P01783088A1136	fibronectin	2335	151	162
P01808136T0000	coagulation factor XII	2161	32	54
P01812690A0475	SMF	6636	10	13
P01822995T0000	rbcS	542212	76	80
P01822995T0000	rbcS	542212	5	9
P01824713A0964	c-jun	3725	77	82
P01825027T0000	PAS1	853636	-1	3
P01826003A0694	beta TG	5473	86	93
P01826043A0431	Ca2( )-dependent protein kinases	760	239	271
P01827068T0000	GATA-3	2625	5	11
P01830114A1587	NS1	10625	28	31
P01832152A0902	ORF1	55354	53	57
P01833637A0531	cdc68	11198	73	78
P01837787T0000	Mov-34	17463	10	16
P01837842A1410	CREB	1385	-1	3
P01846206A0665	dbp	1628	37	40
P01846803A0688	p34cdc2	983	74	81
P01847464A0856	c-myc	4609	238	243
P01848300A0910	cstA	1475	37	41
P01849509T0000	IS256	17363256	190	195
P01849734A1063	PR55 beta	5521	9	18
P01850096A0662	myogenin	4656	15	23
P01850096A0662	E12	64100	45	48
P01850096A0662	MyoD	4654	36	40
P01850096A0662	E12	64100	28	31
P01850105A1093	c-myc	4609	14	19
P01850105A1093	c-myc	4609	59	64
P01850127A0000	snRNP	57819	109	114
P01851527T0000	APP	351	84	87
P01851527T0000	beta-amyloid precursor protein	351	52	82
P01853796T0000	insulin	3630	64	71
P01860846A0663	tumor necrosis factor-alpha	7124	43	70
P01860846A0663	MARCKS	4082	95	101
P01863887A0174	insulin	3630	153	160
P01863887A0174	growth hormone	2688	162	176
P01863887A0174	erythropoietin	2056	178	192
P01864510A0946	PK1	84432	2	5
P01864837A1029	contrapsin	20714	93	103
P01867069A0000	CD-1	111334	5	9
P01869565A1254	USF	7391	-1	2
P01869565A1254	MLP	8048	116	119
P01869968A0673	rCBF	362686	113	117
P01870428A0677	HDL2	57338	46	50
P01871135A0295	glucokinase	24385	170	181
P01874195A0139	GH receptor	2690	27	38
P01874752A0948	p58	984	62	65
P01874752A0948	p62	23636	75	78
P01874752A0948	cdc2	983	70	74
P01874752A0948	cdc2	983	57	61
P01881595A0476	SNO	55206	23	26
P01883992A0922	beta-1	103646088	26	32
P01884435A0088	ptH	5741	76	79
P01884435A0088	ptH	5741	225	228
P01885613A1298	pro alpha 1(II) collagen	1280	90	114
P01886368A0000	PO2	100324027	-1	2
P01886774A0000	Oct3	5460	37	41
P01895393A0745	Sp1	6667	59	62
P01895393A0745	Sp1	6667	72	75
P01899409T0000a	tissue plasminogen activator	5327	104	132
P01901405A0694	BP1	474256	41	44
P01901405A0694	BP2	474257	52	55
P01901946A0243	c-fos	14281	70	75
P01901950T0000	c-fos	14281	93	98
P01903841A0125	eIF-5A	1984	113	119
P01907941A0275	I kappa B beta	4793	13	27
P01907941A0275	Rel	5966	84	87
P01907941A0275	I kappa B alpha	4792	37	52
P01917943A0621a	sMtCK	1160	24	29
P01917943A0621b	sMtCK	1160	24	29
P01917962A0152	IL-2R	3559	135	140
P01918010A0000	Lipoprotein lipase	4023	-1	17
P01918010A0000	LPL	4023	19	22
P01918010A1730	LPL	4023	98	101
P01918070A0281	rGH	25455	147	150
P01918073A0150	troponin C	3371	405	415
P01918073A0150	TnC	3371	417	420
P01918073A0150	TnC	3371	544	547
P01918073A0150	TnC	3371	491	494
P01922082A0149	TSH beta	22094	23	31
P01922739A0336	pia	253260	400	403
P01924315A0158	SOD1	853568	89	93
P01930470A0337	PTH	5741	142	145
P01930470A0337	PTH	5741	51	54
P01930660T0000	Insulin-like growth factor 1	3479	-1	27
P01930660T0000	IGF-1	3479	29	34
P01936348A0155	SnF2	6597	62	66
P01936997A0795	TRP-185	6894	58	65
P01936997A0795	TAR	9939	103	106
P01938178T0000	P300	2033	58	62
P01954355A0997	TNF	7124	52	55
P01956285A0000	bet	13905698	64	67
P01963438T0000	cytochrome c	54205	34	46
P01967130A0645	EFIA	4904	18	22
P01968224A0119	PCNA	37290	191	195
P01968224A0119	PCNA	5111	231	235
P01970801A0925	CD20	54474	53	57
P01970801A0925	OSBP	5007	59	63
P01972379T0042	CAD	101843763	90	93
P01974550A0362	CBF	10153	15	18
P01978857A0504	CD4	920	60	63
P01982997A1104	c-Fos	2353	199	204
P01982997A1104	c-Jun	3725	148	153
P01982997A1104	Jun-B	3726	209	214
P01985920A0156	SCP2	25541	179	183
P01985920A0156	SCP2	25541	96	100
P01985920T0000	sterol carrier protein 2	25541	57	81
P01986241A0117	ACE1	1636	22	26
P01988041A0281	BAL	83666	65	68
P01992953T0000	Alanine aminotransferase	2875	-1	23
P01993181T0000	nahG	1343177	88	92
P02004705A0686	cdr1	1038	3	7
P02014928T0000	serum albumin	213	81	94
P02015921A0523	pN1	5270	33	36
P02019572A0000	L-PK	24651	96	100
P02019572A0000	L-PK	24651	277	281
P02019572A0000	LTK	311337	432	435
P02020314A1290	GM-CSF	1437	35	41
P02022920A0334	C4BP alpha	722	3	13
P02023904A0120	CDC7	8317	3	7
P02026461A0760	DR4	3126	14	17
P02026461A0760	DRB1	3123	30	34
P02029468A0296	TNF	7124	5	8
P02030910A0000	ETS1	2113	37	41
P02030910A1070	ETS1	2113	37	41
P02033062A1169	IGF-I	100327329	87	92
P02038326A0538	eIF-2 alpha	83939	199	210
P02044975A0380	-63	55558	179	182
P02046202A0625	IgA	973	30	33
P02052544A0641	DPB2	3116	152	156
P02052544A0641	dpb2	3116	71	75
P02052592A0000	GM-CSF	1437	442	448
P02052592A0000	interleukin 1 (IL-1	3552	274	293
P02052592A0000	TNF-alpha	7124	328	337
P02052592A0000	tumor necrosis factor alpha	7124	299	326
P02052592A0000	granulocyte-macrophage colony-stimulating factor	1437	392	440
P02055484A0538	ATG1	8408	47	51
P02065022A0747	dbl	4168	94	97
P02069873X0000	vav	7409	30	33
P02069873X0000	vav	7409	49	52
P02075876T0001	cat	847	95	98
P02076620A0548	fibrinogen	2244	19	29
P02076816T0000	RME1	852935	2	6
P02076816T0000	IME1	853556	92	96
P02079811A0407	EMB	133418	45	48
P02081463A0110	Spec1	56882	74	79
P02083199A1175	EGFR	1956	119	123
P02083253A1512	TCF-1 alpha	51176	3	14
P02083253A1512	TCF-1 alpha	51176	163	174
P02083253A1512	TCR alpha	28695	50	59
P02088781A0653	fog	161882	55	58
P02088781A0653	fog	161882	23	26
P02094257T0000	adenosine deaminase	100	19	38
P02102823A0492	beta-glucuronidase	2990	40	58
P02102831A1282	actin	100811630	35	40
P02103140A1088	ABO	28	107	110
P02105497A1092	BiP	3309	101	104
P02105497A1092	HSP70	3309	162	167
P02105497A1092	HSP70	3309	56	61
P02107548A0727	ARF 4	378	127	132
P02107548A0727	ARF 4	378	155	160
P02110145T0000	CfiA	14014258	139	143
P02110145T0000	CfiA	14014258	65	69
P02111015A0574	IRF-1	3659	155	160
P02111015A0574	IRF-2	3660	165	170
P02113174A0064	Sp1	6667	89	92
P02113174A0957	Krox-24	1958	-1	6
P02115115A1053	CAR1	855993	77	81
P02115122A0562	c-Fos	2353	93	98
P02115122A0562	c-Fos	2353	142	147
P02115122A0562	Fos	2353	108	111
P02118519A0516	nerve growth factor receptor	4804	122	150
P02118525A0737	CCK	885	44	47
P02121371T0000	NF1	4763	3	6
P02123029A0478	CH1	51430	139	142
P02123295A0645	ARF2	378	13	17
P02123467A0811	Sp1	31913	102	105
P02123467A0811	Sp1	31913	208	211
P02123820A0000	MAO	29253	131	134
P02123820A0000	monoamine oxidase (MAO)--A	29253	22	48
P02123820A0000	MAO-B	25750	84	89
P02123875A0223	apoA-II	336	406	413
P02123877A1452	fos-B	2354	104	109
P02123877A1452	c-fos	2353	22	27
P02123877A1452	egr-1	1958	32	37
P02123877A1452	fra-1	8061	111	116
P02123877A1452	egr-2	1959	122	127
P02123877A1452	serum response factor	6722	184	205
P02124710A0193	c-jun	3725	45	50
P02124710A0193	c-fos	2353	35	40
P02124710A1624	Jun	3725	53	56
