Sample ID	Gene Name	Ensembl ID	Gene Symbol
P01320640A0336	insulin	['9606.ENSP00000380432']	[]
P01321277A0342	src	['9606.ENSP00000362680', '9031.ENSGALP00000006117']	[]
P01321277A0342	ros	['9606.ENSP00000357494']	[]
P01321277A0342	SRC	['9606.ENSP00000362680', '9031.ENSGALP00000006117']	[]
P01321277A0664	SRC	['9606.ENSP00000362680']	[]
P01321277A0664	ros	['9606.ENSP00000357494']	[]
P01321332A0970	ARP-1	['9606.ENSP00000358921', '9606.ENSP00000483486', '9606.ENSP00000495061', '9606.ENSP00000377721', '9606.ENSP00000234816', '9606.ENSP00000244669']	[]
P01321332A0970	apoAI	['9606.ENSP00000236850']	[]
P01321337A1161	cna1	['9606.ENSP00000378323']	[]
P01321337A1161	cna2	['9606.ENSP00000378306', '9606.ENSP00000234310', '9606.ENSP00000266719']	[]
P01321337A1161	cnb1	['9606.ENSP00000234310']	[]
P01324172A0880	RIM1	['9606.ENSP00000428417']	[]
P01324404A0813	HNF-3 beta	['9606.ENSP00000400341']	[]
P01324404A1208	HNF-3 beta	['9606.ENSP00000400341']	[]
P01324406A1250	ATPase	['9606.ENSP00000333363']	[]
P01325221A0870	p41	['9606.ENSP00000215832']	[]
P01325221A0870	MBP	['9606.ENSP00000380958', '9606.ENSP00000312134', '9606.ENSP00000363079']	[]
P01325386A0766	hit1-1	['9606.ENSP00000381129']	[]
P01326329A0703	Ap-2	['9606.ENSP00000370532', '9606.ENSP00000256104', '9606.ENSP00000501092']	[]
P01326329A0703	activator protein 2	['9606.ENSP00000501092']	[]
P01326557T0000	neurocan	['9606.ENSP00000252575']	[]
P01327967A0668	sms	['9606.ENSP00000385746', '9606.ENSP00000323074']	[]
P01328219A1397	NSCL-1	['9606.ENSP00000302189']	[]
P01328681A0149	c-myc	['9606.ENSP00000478887']	[]
P01328854T0000	MEF-2	['9606.ENSP00000453095', '9606.ENSP00000316950']	[]
P01329039A0951	MCK	['9606.ENSP00000221476']	[]
P01330309A1134	MyoD	['9606.ENSP00000250003']	[]
P01330309A1134	myogenin	['9606.ENSP00000241651']	[]
P01331057A0000	COX12	['4932.YLR038C']	[]
P01331057A0000	cytochrome c	['4932.YJR048W', '9606.ENSP00000307786', '4932.YEL039C']	[]
P01331086T0000	cytochrome c oxidase subunit IV	['9606.ENSP00000457513']	[]
P01331501A0397	cyclin A	['9606.ENSP00000481380', '9606.ENSP00000255465']	[]
P01331501A0397	pRB	['9606.ENSP00000267163']	[]
P01331501A0397	p130	['9606.ENSP00000262133', '9606.ENSP00000385410', '9606.ENSP00000411418']	[]
P01332964A0247	RII beta	['9606.ENSP00000265717']	[]
P01333047A0404	Nck	['10090.ENSMUSP00000112221', '9606.ENSP00000417273']	[]
P01333047A0404	epidermal growth factor	['9606.ENSP00000265171', '10090.ENSMUSP00000029653']	[]
P01333053A0110	ACTH	['9606.ENSP00000384092']	[]
P01333317A1008	Sp1	['9606.ENSP00000329357', '9606.ENSP00000308970', '9606.ENSP00000323155']	[]
P01334428A1102	src	['9606.ENSP00000362680']	[]
P01334493A0289	HGF	['9606.ENSP00000222390', '9606.ENSP00000385675', '9606.ENSP00000384675']	[]
P01334493A0289	HGFr	['9606.ENSP00000317272']	[]
P01339391A0000	HRAS1	['9606.ENSP00000407586', '9606.ENSP00000380713', '9606.ENSP00000358548']	[]
P01339468A0272	ORF1	['9606.ENSP00000265602', '9606.ENSP00000294129']	[]
P01340470A0000	rbp1	['7227.FBpp0081754', '9606.ENSP00000232219', '9606.ENSP00000345824', '9606.ENSP00000347602']	[]
P01340470A0000	RNA-binding protein	['9606.ENSP00000263657', '9606.ENSP00000373277']	[]
P01347476T0000	ornithine decarboxylase	['9606.ENSP00000234111', '10090.ENSMUSP00000023884', '10090.ENSMUSP00000128661']	[]
P01348508A0313	TGM1	['9606.ENSP00000206765']	[]
P01348590A0000	CD4	['9606.ENSP00000011653']	[]
P01349837T0000	HSP60	['3702.P29197', '9606.ENSP00000367623', '9606.ENSP00000340019']	[]
P01357190A0726	CD4	['9606.ENSP00000011653']	[]
P01358758A0000	insulin	['10116.ENSRNOP00000016052', '9606.ENSP00000380432', '10116.ENSRNOP00000027656']	[]
P01360294A0000	AT III	['9606.ENSP00000356671']	[]
P01360294A0000	antithrombin III	['9606.ENSP00000356671']	[]
P01371275T0000	ATPase	['9606.ENSP00000333363']	[]
P01372900A0448	alpha s1-casein	['9606.ENSP00000246891']	[]
P01372900A1017	alpha s1-casein	['9606.ENSP00000246891']	[]
P01373374A0735	GBF1	['9606.ENSP00000359000', '9606.ENSP00000345341']	[]
P01374392A0341	NHE-2	['9606.ENSP00000233969']	[]
P01374392A0341	NHE-1	['9606.ENSP00000263980']	[]
P01374392A0341	NHE-3	['9606.ENSP00000264938']	[]
P01375224A0152	Crk	['9606.ENSP00000300574', '9031.ENSGALP00000004174']	[]
P01377696A0000	neurofascin	['9606.ENSP00000344786', '9031.ENSGALP00000068078']	[]
P01377818A0468	C/EBP gamma	['9606.ENSP00000466022']	[]
P01380454A0451	ref-1	['9606.ENSP00000216714', '9606.ENSP00000222543', '9606.ENSP00000435233']	[]
P01380454A0451	Fos	['9606.ENSP00000306245']	[]
P01380454A0451	CREB	['9606.ENSP00000387699']	[]
P01380454A0451	Jun	['9606.ENSP00000360266']	[]
P01380454A0451	Myb	['9606.ENSP00000339992']	[]
P01383690A1023	BCR	['9606.ENSP00000303507']	[]
P01383690A1023	ABL	['9606.ENSP00000361423', '9606.ENSP00000427679']	[]
P01384229A0175	BF-IV	['9031.ENSGALP00000043493', '9031.ENSGALP00000045408']	[]
P01386897A0000	cyclins	['9606.ENSP00000383611']	[]
P01386897A0000	CLN1	['9606.ENSP00000493153']	[]
P01387105A0933	Cycb1-rs1	['10090.ENSMUSP00000071989']	[]
P01387105A0933	cyclin B1	['10090.ENSMUSP00000071989', '9606.ENSP00000256442']	[]
P01387105A0933	Cycb1	['10090.ENSMUSP00000071989']	[]
P01392012A0228	oxytocin	['9606.ENSP00000217386']	[]
P01394200A0592	CD25	['9606.ENSP00000306565', '9606.ENSP00000369293']	[]
P01394200A0592	interleukin 2	['9606.ENSP00000226730']	[]
P01396583A0204	interleukin 2	['9606.ENSP00000226730']	[]
P01396592A1113	GATA-1	['9606.ENSP00000365858']	[]
P01396592A1113	erythroid transcription factor	['9606.ENSP00000365858']	[]
P01396601A0986	Stl2p	['9606.ENSP00000359114']	[]
P01396601A0986	Stl1p	['9606.ENSP00000369889']	[]
P01396601A0986	Sec12p	['9606.ENSP00000260643']	[]
P01398068A0948	p53	['9606.ENSP00000269305']	[]
P01398071A0526	BRF1	['9606.ENSP00000448387', '9606.ENSP00000337386']	[]
P01398073A0986	TFIID	['9606.ENSP00000230354']	[]
P01398104A0834	RNA-binding protein	['9606.ENSP00000263657', '9606.ENSP00000373277']	[]
P01398104A0834	CBF-A	['9606.ENSP00000345702', '9606.ENSP00000361626', '9606.ENSP00000240055']	[]
P01400217T0000	traG	['9606.ENSP00000254442']	[]
P01400396A1265	protein kinase C beta	['9606.ENSP00000496129']	[]
P01400401A0065	AMP deaminase	['9606.ENSP00000430075', '9606.ENSP00000379802', '9606.ENSP00000499465']	[]
P01400401A0854	AMPD3	['9606.ENSP00000379802']	[]
P01404401A0740	ATPase	['9606.ENSP00000333363']	[]
P01406630A0965	p65	['9606.ENSP00000341292', '9606.ENSP00000384273', '9606.ENSP00000261205', '9606.ENSP00000313869']	[]
P01406630A0965	p50	['9606.ENSP00000339404', '9606.ENSP00000361359', '9606.ENSP00000226574', '9606.ENSP00000495631']	[]
P01406656A1075	ras	['10090.ENSMUSP00000032399', '10090.ENSMUSP00000000369', '10090.ENSMUSP00000026572']	[]
P01406677A0000	myoglobin	['9606.ENSP00000352835']	[]
P01406703A1435	H-2RIIBP	['9606.ENSP00000363817']	[]
P01407286A0427	tyrosine hydroxylase	['9606.ENSP00000370571']	[]
P01409581A0206	PU.1	['9606.ENSP00000227163']	[]
P01409643A0618	TATA element modulatory factor	['9606.ENSP00000494067']	[]
P01410071T0000	prolactin	['9606.ENSP00000302150']	[]
P01413984A0737	tissue plasminogen activator	['9606.ENSP00000220809']	[]
P01413984A0737	apo A1	['9606.ENSP00000236850']	[]
P01413984A0737	antithrombin III	['9606.ENSP00000356671']	[]
P01413984A0737	plasminogen	['9606.ENSP00000308938']	[]
P01413984A0737	von Willebrand factor	['9606.ENSP00000261405']	[]
P01420363A0818	c-Jun	['9606.ENSP00000360266']	[]
P01420363A0818	TIMP	['9606.ENSP00000218388']	[]
P01420363A0818	c-Fos	['9606.ENSP00000306245']	[]
P01420363T0000	TIMP-1	['10090.ENSMUSP00000110999', '9606.ENSP00000218388']	[]
P01420363T0000	PEA3	['10090.ENSMUSP00000017868', '9606.ENSP00000321835']	[]
P01421145A1190	PCAT-1	['9606.PCAT1']	[]
P01426635A0496	ZFH-2	['9606.ENSP00000413418']	[]
P01429724A0664	Nmt1p	['9606.ENSP00000468424']	[]
P01429836A0457	Vps1p	['9606.ENSP00000449089']	[]
P01429836A1205	Vps1p	['9606.ENSP00000449089']	[]
P01436261A0145	somatostatin	['9606.ENSP00000287641']	[]
P01436261A0145	calcitonin	['9606.ENSP00000331746', '9606.ENSP00000433490']	[]
P01437562A0462	CRK	['9606.ENSP00000300574']	[]
P01446828A1088	LF-A1	['9606.ENSP00000349252', '9606.ENSP00000380948']	[]
P01446828A1088	ADH5	['9606.ENSP00000296412', '9606.ENSP00000378359']	[]
P01446828A1088	NF-E1	['9606.ENSP00000365858', '9606.ENSP00000262238']	[]
P01446828A1088	AP2	['9606.ENSP00000370532', '9606.ENSP00000256104', '9606.ENSP00000501092']	[]
P01446828A1088	NF-1	['9606.ENSP00000351015']	[]
P01446828A1088	Sp1	['9606.ENSP00000329357', '9606.ENSP00000308970', '9606.ENSP00000323155']	[]
P01447189A1546	Met-1	['9606.ENSP00000264553']	[]
P01447189T0000	RNK-Met-1	['10116.ENSRNOP00000011086']	[]
P01447189T0000	novel serine protease	['9606.ENSP00000287727']	[]
P01448107A0361	GCN2	['9606.ENSP00000263791']	[]
P01452037A0000	triosephosphate isomerase (TIM	['9606.ENSP00000229270']	[]
P01452037A0000	GAPDH	['9606.ENSP00000380070']	[]
P01454518A0336	ERCC3	['9606.ENSP00000285398', '7227.FBpp0075982']	[]
P01454819A0000	EC 2.4.2.31	['9606.ENSP00000250693', '9606.ENSP00000348064', '9606.ENSP00000228936', '9606.ENSP00000352992']	[]
P01454819A0000	EC 3.2.2.19	['9606.ENSP00000420200']	[]
P01456888A0074	p55	['9606.ENSP00000360782', '9606.ENSP00000262741', '9606.ENSP00000358547', '9606.ENSP00000371798', '9606.ENSP00000414150', '9606.ENSP00000442563', '9606.ENSP00000369293', '9606.ENSP00000162749', '9606.ENSP00000327801', '9606.ENSP00000306245', '9606.ENSP00000348442']	[]
P01457380A0000	tramtrack	['7227.FBpp0085186']	[]
P01457380A0000	ttk	['9606.ENSP00000358813', '7227.FBpp0085186']	[]
P01457695T0000a	beta 2-microglobulin	['9606.ENSP00000497910']	[]
P01457695T0000b	beta 2-microglobulin	['9606.ENSP00000497910']	[]
P01459451A0478	GAL4	['9606.ENSP00000302100']	[]
P01460054A0478	ICSBP	['9606.ENSP00000268638']	[]
P01460054A0968	ICSBP	['9606.ENSP00000268638']	[]
P01464606A0344	fibronectin	['9606.ENSP00000346839']	[]
P01468625A0282	HIS3	['9606.ENSP00000392028']	[]
P01468625A0282	LEU2	['9606.ENSP00000386559', '9606.DLEU2']	[]
P01468625A1080	NSR1	['9606.ENSP00000485276', '9606.ENSP00000318195']	[]
P01469042A0355	CENP-B	['10090.ENSMUSP00000086938', '9606.ENSP00000369075']	[]
P01470243A0871	albumin	['9606.ENSP00000295897']	[]
P01477021A0394	prolactin	['9606.ENSP00000302150']	[]
P01480183A0000	lactoferrin	['9606.ENSP00000231751']	[]
P01480183A1689	lactoferrin	['9606.ENSP00000231751', '10090.ENSMUSP00000035077']	[]
P01502157A0000	c-MYC	['9606.ENSP00000478887']	[]
P01504853A0299	LHRH	['9606.ENSP00000276414']	[]
P01512259A0867	furin	['9606.ENSP00000483552']	[]
P01516829A0113	SNF2	['9606.ENSP00000371638', '9606.ENSP00000343896']	[]
P01516829A0113	SNF5	['9606.ENSP00000340883']	[]
P01516829A0460	SNF2	['9606.ENSP00000371638', '9606.ENSP00000343896']	[]
P01516829A0460	GAL4	['9606.ENSP00000302100']	[]
P01516829A0460	SNF5	['9606.ENSP00000340883']	[]
P01518849A0165	elastin	['9606.ENSP00000351807']	[]
P01518849A0165	PR3	['9606.ENSP00000234347']	[]
P01526658A0454	IFI 16	['9606.ENSP00000357113']	[]
P01529530T0000	Interferon-alpha	['9606.ENSP00000411940', '9606.ENSP00000412897', '9606.ENSP00000369566', '9606.ENSP00000369574', '9606.ENSP00000276927', '9606.ENSP00000369564', '9606.ENSP00000369554', '9606.ENSP00000480467', '9606.ENSP00000484479', '9606.ENSP00000369558', '9606.ENSP00000239347', '9606.ENSP00000369553', '9606.ENSP00000369571']	[]
P01531632A0000	NSR1	['9606.ENSP00000485276', '9606.ENSP00000318195']	[]
P01531632A0000	SSB1	['9606.ENSP00000369545', '9606.ENSP00000330221']	[]
P01531632A0000	fibrillarin	['9606.ENSP00000221801']	[]
P01531632A0000	nucleolin	['9606.ENSP00000318195']	[]
P01532229A1264	HF-1b	['9606.ENSP00000222584']	[]
P01532229A1264	MEF-2	['9606.ENSP00000453095', '9606.ENSP00000316950']	[]
P01535242A0557	GM-CSF	['9606.ENSP00000296871']	[]
P01535242A0557	c-fms	['9606.ENSP00000286301']	[]
P01535242A0557	M-CSF	['9606.ENSP00000327513']	[]
P01536575A1213	CYPIA1	['9606.ENSP00000378488']	[]
P01537334A0507	TRP-2	['9606.ENSP00000392762', '10090.ENSMUSP00000116934', '9606.ENSP00000283195', '10090.ENSMUSP00000022725', '10090.ENSMUSP00000081903', '9606.TRP-AGG2']	[]
P01537845A0571	c-myb	['9606.ENSP00000339992', '10090.ENSMUSP00000139699']	[]
P01538403A1058	TFIID	['9606.ENSP00000230354']	[]
P01542565A0220	ribosomal protein L7	['9606.ENSP00000339795']	[]
P01542565T0000	ribosomal protein L12	['9606.ENSP00000354739']	[]
P01542667A0125	IFN-gamma	['9606.ENSP00000229135']	[]
P01542686A0000	p65	['9606.ENSP00000341292', '9606.ENSP00000384273', '9606.ENSP00000261205', '9606.ENSP00000313869']	[]
P01542686A0000	p75	['9606.ENSP00000216223', '9606.ENSP00000381216', '9606.ENSP00000365435', '9606.ENSP00000323328', '9606.ENSP00000320176', '9606.ENSP00000262965', '9606.ENSP00000353401', '9606.ENSP00000370114']	[]
P01544918A1240	RII beta	['9606.ENSP00000265717']	[]
P01545523A0000	C reactive protein	['9606.ENSP00000255030']	[]
P01545787A0345	NFAT-1	['9606.ENSP00000379330']	[]
P01545787A0345	NFIL	['9606.ENSP00000360231']	[]
P01545792A0000	MLC-2	['9606.ENSP00000279022', '9606.ENSP00000463559', '9606.ENSP00000228841']	[]
P01545792A0000	myosin light chain-2	['9606.ENSP00000228841']	[]
P01545792A0492	MLC-2	['9606.ENSP00000279022', '9606.ENSP00000463559', '9606.ENSP00000228841']	[]
P01545806T0000	MER2	['9606.ENSP00000324101']	[]
P01545818A0696	src	['9606.ENSP00000362680', '10116.ENSRNOP00000071837']	[]
P01545818A0696	Src	['9606.ENSP00000362680', '10116.ENSRNOP00000071837']	[]
P01545818A0696	p62	['9606.ENSP00000265963', '9606.ENSP00000313829', '9606.ENSP00000374455', '9606.ENSP00000471191', '10116.ENSRNOP00000066894', '9606.ENSP00000414906']	[]
P01545818A0696	p130	['9606.ENSP00000262133', '10116.ENSRNOP00000050087', '9606.ENSP00000385410', '10116.ENSRNOP00000017361', '10116.ENSRNOP00000074026', '9606.ENSP00000411418']	[]
P01547942A0120	C/EBP-homologous protein	['9606.ENSP00000448665']	[]
P01547942A0120	CHOP-10	['9606.ENSP00000448665']	[]
P01547957A1083	CYP1	['9606.ENSP00000228606', '9606.ENSP00000378488']	[]
P01547957A1083	CYP3	['9606.ENSP00000225174']	[]
P01548891A0635	parathyroid hormone	['9606.ENSP00000433208']	[]
P01549125A0140	insulin	['9606.ENSP00000380432']	[]
P01549125A0140	IAPP	['9606.ENSP00000240652']	[]
P01549129A0356	Src	['9606.ENSP00000362680']	[]
P01549346A0000	c-Ets-1	['9606.ENSP00000376436']	[]
P01554334A0000	IFN-gamma	['9606.ENSP00000229135', '9913.ENSBTAP00000016634']	[]
P01556068A0000	monoamine oxidase	['9606.ENSP00000340684', '9606.ENSP00000367309']	[]
P01556068A0000	maoA	['9606.ENSP00000340684']	[]
P01569102A0708	LDL receptor	['9606.ENSP00000454071']	[]
P01569945A0529	SEN1	['9606.ENSP00000224140']	[]
P01573270A0000	IA4	['10090.ENSMUSP00000158533', '9606.ENSP00000227155', '10090.ENSMUSP00000028644', '10090.ENSMUSP00000040342', '9606.ENSP00000380227']	[]
P01581965A0388	breakpoint cluster region	['9606.ENSP00000303507']	[]
P01581965A0388	n-chimerin	['9606.ENSP00000386741']	[]
P01581965A0388	rho GAP	['9606.ENSP00000310491']	[]
P01582413A0759	Myf-5	['9606.ENSP00000228644']	[]
P01584812T0000	NGFI-C	['9606.ENSP00000445626']	[]
P01585014A0000	GnRH	['9606.ENSP00000276414']	[]
P01588961A0000	STP1	['9606.ENSP00000378972', '9606.ENSP00000236979']	[]
P01588963A1153	Cdc25	['9606.ENSP00000321656', '9606.ENSP00000405963']	[]
P01588965A0000	GCR1	['4932.YPL075W']	[]
P01594554A0845	CCK	['9606.ENSP00000379472', '9606.ENSP00000220751']	[]
P01597462A0457	CDC14	['9606.ENSP00000354916']	[]
P01612085A0624	erythropoietin	['9606.ENSP00000252723']	[]
P01615493A0408	HC II	['9606.ENSP00000215727']	[]
P01615493A0975	HC II	['9606.ENSP00000215727']	[]
P01617801A0088	renin	['9606.ENSP00000272190']	[]
P01626430A1112	SNF2	['9606.ENSP00000371638', '9606.ENSP00000343896']	[]
P01626430A1112	RAD54	['9606.ENSP00000362441', '7227.FBpp0077357']	[]
P01630455A0448	IL-1 beta	['9606.ENSP00000263341', '10090.ENSMUSP00000028881']	[]
P01630455A0448	NFIL	['9606.ENSP00000360231']	[]
P01633435A0743	MEF-2	['9606.ENSP00000453095', '9606.ENSP00000316950']	[]
P01633435A0743	DRF-2	['9606.ENSP00000321348']	[]
P01633816A0667	opn	['9606.ENSP00000378517']	[]
P01634464A0163	factor VII	['9606.ENSP00000364731']	[]
P01643943A0300	TFR	['9606.ENSP00000376197']	[]
P01644796A0374	furin	['9606.ENSP00000483552']	[]
P01644821A1259	PSG1	['9606.ENSP00000308970', '9606.ENSP00000305005', '9606.ENSP00000385706', '9606.ENSP00000485117']	[]
P01644831A0824	NGFI-B	['9606.ENSP00000440864']	[]
P01645902A1462	Syn 5	['9606.ENSP00000311837']	[]
P01646157A0414	Gal A	['9606.ENSP00000218516']	[]
P01646157A0414	alpha-galactosidase A	['9606.ENSP00000218516']	[]
P01648530A0000	actin-beta	['9606.ENSP00000494750']	[]
P01649539T0000	myeloperoxidase	['9606.ENSP00000225275']	[]
P01649835A0822	PBR	['9606.ENSP00000379563', '9913.ENSBTAP00000066530']	[]
P01650524A0837	5-LO	['9606.ENSP00000363512']	[]
P01652372A0153	SWI5	['9606.ENSP00000316609']	[]
P01652755A1492	c-fos	['9606.ENSP00000306245']	[]
P01652755A1492	IL-6	['9606.ENSP00000385675']	[]
P01652755A1492	beta-actin	['9606.ENSP00000494750']	[]
P01653236A0895	glucocorticoid receptor	['9606.ENSP00000231509']	[]
P01653236A0895	p50	['9606.ENSP00000339404', '9606.ENSP00000361359', '9606.ENSP00000226574', '9606.ENSP00000495631']	[]
P01653238A1062	transforming growth factor beta 1	['9606.ENSP00000221930']	[]
P01653238A1062	TGF-beta 1	['9606.ENSP00000221930']	[]
P01653238A1715	TGF-beta 1	['9606.ENSP00000221930']	[]
P01656220T0000	axl	['9606.ENSP00000301178']	[]
P01657415A0837	cox1	['9606.ENSP00000354499', '9606.ENSP00000354612', '4932.Q0045']	[]
P01657969A1420	calmodulin	['9606.ENSP00000419081', '9606.ENSP00000315299', '9606.ENSP00000304643', '9606.ENSP00000369689', '9606.ENSP00000291295']	[]
P01658741A1047	ADE 1	['4932.YAR015W']	[]
P01662794A0640	wt1	['9606.ENSP00000368370']	[]
P01675763A1389	CD4	['9606.ENSP00000011653']	[]
P01678287A1308	Antp	['9606.ENSP00000242159']	[]
P01679124A1368	ChAT	['9606.ENSP00000337103', '9606.ENSP00000317817']	[]
